"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-21092016-091377";"";
"REFERENCE";"609";"";
"TraceParts.PartTitle";"Deep groove ball bearings, single row";"";
"TraceParts.InstanceId";"10-21092016-0913777YMR45XH459RS9DXG2F5RW39M";"";
"DESIGN";"Single row deep groove ball bearing, Bore Ø 9 mm, Outside Ø 24 mm";"";
"SUPPLIER";"SKF";"";
"TraceParts.PartVersion";"1.3.5";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.0142";"";
